addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,dist,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title
서울특별시 용산구 남산공원길 105,,1,0,A02,A0205,A02050600,126535,12,2.00E+13,129957.9532,http://tong.visitkorea.or.kr/cms/resource/70/3089670_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/3089670_image3_1.jpg,Type1,126.9878984,37.55110899,6,2.02E+13,21,,남산서울타워
서울특별시 용산구 남산공원길 105,(용산동2가),1,0,A02,A0203,A02030200,2435104,12,2.02E+13,129961.9206,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2435112_image2_1.jpg,Type3,126.9878595,37.5511312,6,2.02E+13,21,,남산서울타워 한복문화체험관
전북특별자치도 김제시 성덕면 만경로 600-92,,37,0,A02,A0201,A02010700,1956442,12,2.01E+13,118918.1796,http://tong.visitkorea.or.kr/cms/resource/70/3363570_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/3363570_image3_1.JPG,Type3,126.8245955,35.84031687,6,2.02E+13,3,,남산서원(김제)
서울특별시 중구 남산공원길 609 (예장동),,1,0,A01,A0101,A01010500,2783557,12,2.02E+13,130369.2762,,,,126.9866845,37.5549113,6,2.02E+13,24,,남산순환나들길
서울특별시 중구 주자동,5월 22일,1,,A02,A0202,A02020700,3067314,12,2.02E+13,130781.1289,http://tong.visitkorea.or.kr/cms/resource/98/3067298_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/3067298_image3_1.JPG,Type3,126.9888869,37.5605218,6,2.02E+13,24,,남산예장공원
인천광역시 강화군 교동면 읍내리 698,,2,0,A01,A0101,A01011400,2755476,12,2.02E+13,187843.6913,,,,126.294228,37.76564115,6,2.02E+13,1,,남산포 선착장
대전광역시 서구 남선로 66,,3,0,A02,A0202,A02020700,2758252,12,2.02E+13,43842.30972,,,,127.3967005,36.34530253,6,2.02E+13,3,,남선공원
부산광역시 동구 초량로13번길 53,(초량동),6,0,A02,A0201,A02010700,1942299,12,2.01E+13,196051.1369,http://tong.visitkorea.or.kr/cms/resource/79/3070879_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/3070879_image3_1.JPG,Type3,129.0395112,35.1167963,6,2.02E+13,5,,남선창고터
전라남도 고흥군 포두면 남성리 203-1,,38,0,A01,A0101,A01011200,2782702,12,2.02E+13,230789.8405,http://tong.visitkorea.or.kr/cms/resource/65/2788465_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2788465_image2_1.jpg,Type3,127.4075163,34.52034524,6,2.02E+13,2,,남성리해수욕장
경상북도 포항시 남구 대송면 남성안길 18-16,,35,0,A02,A0201,A02010400,127223,12,2.00E+13,153639.2173,http://tong.visitkorea.or.kr/cms/resource/45/3409745_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/3409745_image3_1.jpg,Type3,129.3529487,35.97357247,6,2.02E+13,23,,남성재
전라남도 구례군 화엄사로 539,,38,,A02,A0201,A02010700,3008545,12,2.02E+13,148982.6225,,,,127.4972509,35.25545866,6,2.02E+13,5,,남악사
경상남도 진주시 금곡면 죽곡길 102,,36,0,A02,A0201,A02010700,128671,12,2.01E+13,169874.5806,http://tong.visitkorea.or.kr/cms/resource/22/3040222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/3040222_image3_1.jpg,Type3,128.1779264,35.07631579,6,2.02E+13,13,,남악서원
전라남도 무안군 삼향읍 남악로162번길 34,,38,0,A02,A0202,A02020700,2765259,12,2.02E+13,230009.6929,,,,126.4619147,34.80103405,6,2.02E+13,9,,남악수변공원
